Data,Sentiment
পুরাই গাঞজাখুরি নাতকফালতু ,0
এখনকার মেয়েরা এমন লোভিই হয়,0
বোগাস মিনিট জাসট অপচয়,0
ভালো থাকুক ভালোবাসার মানুষটা,1
অসাধারণ একটা কাহিনী  জীবন টা ত একটা  ,1
নিশো ভাইকে অনেক ধনযবাদ এতো ভালো নাটকের  জনয,1
অসাধারণ নাটক  আমার কয়েকবার দেখা হয়ে গেল,1
অসাধারণ লাগলো চোখ দিয়ে জল গড়িয়ে পড়লো,1
আমার দেখা সেরা ফালতু নাটক কি বাল বানাইছে,0
খুব সুনদর লাগলো বিশেষ করে লাষট ফিনিশিং,1
নাটক দেখলাম খুবই ভালো হয়েছে এবার কমেনট পরার পাললা,1
সুনদর লাগছে বিশেষ করে নামাজের জনয,1
ফালতু নাটক সময় নসটসবাই আনলাইক দেন,0
সময় নষট এগুলা কোনো বিনোদন এর জাতের মধযে পরে না,0
বুজিনা মেয়েদেরকি আজকাল উরনা পরতে লজজা লাগে,0
অনেক খোর হইছে এখন খোর বাদ দেন,0
ইদানিং এই জুটির নাটক গুলা সেম কাহিনি হচছে বাজে,0
অভিনয় করছে বোঝা যায় নিশো ভাই একদম ঠিক ,1
একটা নাটয কেন এতো সুনদর হইতে হবে,1
এইসব কি এইসব কোন কাহিনিযততসব বাজে কাহিনির নাটক,0
জিয়াউল হক পলাশ ভাই কাবিলা তোমার নাটক গুলা সেরা ভাই,1
কি বলবো  এক কথাই অসাধারন ছিল নাটকটা,1
পুরো গলপটি নেতিবাচক ও উষকানিমৃলক,0
বাংলাদেশের নাটক গুলো এখন অশলীলতার দিকে চলে যাচছে,0
শামীম ভাই আপনার কাছে এরকম অশলীল নাটক নাটক আশা করিনি,0
নিশো ফালতু ছেলে বানদরের মত চেহারা একদম পাগলের মত,0
ইভানা তুমি এত ভালঅনেক সুনদর হয়েছে,1
জীনবত একটাই একটাই মন একটাই ভালোবাসা,1
কি সুনদর নাম হজরত মুহামমদ সঃ ,1
এইটা কোন নাটক হলো ফালতু নামবার ওয়ান,0
বিনোদনের নামে  অশলীল একটা নাটক,0
সতযিই তোমাকে অনেক ভালোবাসি ভাই,1
এক কথাই অসাধারণ নাটককিনতু বাবা টা সুবিধা বাজ,1
ভুয়া নাটক দেখে কারাসব পাগলের গোষঠী,0
দুদুর দুদ এতো বারে কেন   পেট পেট,0
ইবানার ফেইচ অনেক সুনদর  লাগলো,1
অপূরবর নাটক ছাড়া আর কারো নাটক দেখি না,1
এটা কি কোন নাটক ছিলোছি,0
বালের ভালোবাসা সবই দুচানোর ধানধা,0
এইগুলো কি নাটকের পরযায়ে পড়ে,0
